Packet 526 	 Time(ns) 49.531236
Packet 527 	 Time(ns) 99.062473
Packet 528 	 Time(ns) 19.812495
Packet 529 	 Time(ns) 118.874967
Packet 530 	 Time(ns) 128.781215
Packet 531 	 Time(ns) 118.874967
Packet 532 	 Time(ns) 108.968720
Packet 533 	 Time(ns) 39.624989
Packet 534 	 Time(ns) 39.624989
Packet 535 	 Time(ns) 118.874967
Packet 536 	 Time(ns) 49.531236
Packet 537 	 Time(ns) 29.718742
Packet 538 	 Time(ns) 79.249978
Packet 539 	 Time(ns) 108.968720
Packet 540 	 Time(ns) 39.624989
Packet 541 	 Time(ns) 99.062473
Packet 542 	 Time(ns) 99.062473
Packet 543 	 Time(ns) 19.812495
Packet 544 	 Time(ns) 118.874967
Packet 545 	 Time(ns) 99.062473
Packet 546 	 Time(ns) 59.437484
Packet 547 	 Time(ns) 19.812495
Packet 548 	 Time(ns) 19.812495
Packet 549 	 Time(ns) 19.812495
Packet 550 	 Time(ns) 79.249978
Packet 551 	 Time(ns) 19.812495
Packet 552 	 Time(ns) 69.343731
Packet 553 	 Time(ns) 59.437484
Packet 554 	 Time(ns) 9.906247
Packet 555 	 Time(ns) 19.812495
Packet 556 	 Time(ns) 158.499956
Packet 557 	 Time(ns) 39.624989
Packet 558 	 Time(ns) 29.718742
Packet 559 	 Time(ns) 39.624989
Packet 560 	 Time(ns) 39.624989
Packet 561 	 Time(ns) 9.906247
Packet 562 	 Time(ns) 108.968720
Packet 563 	 Time(ns) 89.156225
Packet 564 	 Time(ns) 39.624989
Packet 565 	 Time(ns) 69.343731
Packet 566 	 Time(ns) 19.812495
Packet 567 	 Time(ns) 29.718742
Packet 568 	 Time(ns) 79.249978
Packet 569 	 Time(ns) 19.812495
Packet 570 	 Time(ns) 19.812495
Packet 571 	 Time(ns) 89.156225
Packet 572 	 Time(ns) 29.718742
Packet 573 	 Time(ns) 49.531236
Packet 574 	 Time(ns) 89.156225
Packet 575 	 Time(ns) 9.906247
Packet 576 	 Time(ns) 69.343731
Packet 577 	 Time(ns) 69.343731
Packet 578 	 Time(ns) 19.812495
Packet 579 	 Time(ns) 89.156225
Packet 580 	 Time(ns) 99.062473
Packet 581 	 Time(ns) 128.781215
Packet 582 	 Time(ns) 99.062473
Packet 583 	 Time(ns) 128.781215
Packet 584 	 Time(ns) 89.156225
Packet 585 	 Time(ns) 9.906247
Packet 586 	 Time(ns) 39.624989
Packet 587 	 Time(ns) 9.906247
Packet 588 	 Time(ns) 118.874967
Packet 589 	 Time(ns) 39.624989
Packet 590 	 Time(ns) 89.156225
Packet 591 	 Time(ns) 39.624989
Packet 592 	 Time(ns) 79.249978
Packet 593 	 Time(ns) 39.624989
Packet 594 	 Time(ns) 39.624989
Packet 595 	 Time(ns) 79.249978
Packet 596 	 Time(ns) 99.062473
Packet 597 	 Time(ns) 118.874967
Packet 598 	 Time(ns) 89.156225
Packet 599 	 Time(ns) 49.531236
Packet 600 	 Time(ns) 108.968720
Packet 601 	 Time(ns) 108.968720
